ds,yhat,yhat_lower,yhat_upper
2023-03-18,3365.700657102516,3360.0948885269345,3371.1742777192317
2023-03-19,3369.9129412769835,3364.5096493664414,3375.2903522725137
2023-03-20,3373.7647514776395,3368.365040715637,3379.513613186363
2023-03-21,3377.536339738526,3372.1083024092245,3383.0292229906036
2023-03-22,3381.2310040675384,3375.882912468472,3386.597674632081
2023-03-23,3384.946612312217,3379.453048827969,3390.46095164808
2023-03-24,3388.5886669723045,3382.841664863875,3393.992555814619
2023-03-25,3391.4016610846,3385.724811880026,3396.912619910333
2023-03-26,3395.585417007889,3389.877706639409,3401.0058119609444
2023-03-27,3399.408698957364,3394.0101384087134,3404.8357486744226
2023-03-28,3403.180287218251,3397.4431369762665,3408.5940663137744
2023-03-29,3406.8749515472628,3401.3422007052272,3412.8033348974955
2023-03-30,3410.5905597919414,3405.0875579876515,3415.8088923550436
2023-03-31,3414.232614452031,3409.1127977391266,3419.844531396549
2023-04-01,3417.0456085643254,3411.3686269621994,3422.4116456329493
2023-04-02,3421.229364487613,3415.7886066510923,3426.350604487571
2023-04-03,3425.05264643709,3419.8726200496862,3430.617402674944
2023-04-04,3428.8242346979773,3423.2748014085114,3434.2081507095277
2023-04-05,3432.518899026989,3427.436472510092,3437.8991825233356
2023-04-06,3436.2345072716676,3430.8303423629955,3441.2321728842753
2023-04-07,3439.8765619317583,3434.4182399150263,3445.717965210153
2023-04-08,3442.6895560440507,3437.5324442410215,3447.9731407646505
2023-04-09,3446.8733119673393,3441.3909255654557,3452.2457493026764
2023-04-10,3450.696593916815,3445.3343629001156,3456.0777319173676
2023-04-11,3454.4681821777012,3448.712872075349,3459.761227554962
2023-04-12,3458.162846506716,3452.7873357955013,3463.4002807837564
2023-04-13,3461.836619730048,3456.358347860713,3467.1739758476847
2023-04-14,3465.4368393687955,3459.6239423071297,3470.9998221498095
2023-04-15,3468.2079984597444,3463.0269751458995,3473.7643962176253
2023-04-16,3472.349919361688,3466.6333378436125,3477.421011397041
2023-04-17,3476.131366289819,3470.7205950894913,3481.7304180496403
2023-04-18,3479.861119529364,3474.822916631635,3485.3262329370214
2023-04-19,3483.513948837032,3477.8128906822926,3488.952776474532
2023-04-20,3487.1877220603646,3481.6648671550065,3492.4314334396995
2023-04-21,3490.7879416991104,3485.6373593622734,3496.319839385297
2023-04-22,3493.55910079006,3488.6131572564777,3498.8615946012246
2023-04-23,3497.701021692002,3492.0974322830625,3503.036280565612
2023-04-24,3501.482468620136,3496.1917066796395,3507.2180603313363
2023-04-25,3505.212221859679,3499.9751936021744,3510.6045176917264
2023-04-26,3508.8650511673472,3503.4406110322248,3514.6300911780622
2023-04-27,3512.5388243906796,3507.1685253237006,3517.985713902944
2023-04-28,3516.1390440294244,3510.696494059097,3521.633919859798
2023-04-29,3518.9102031203756,3513.7921587592605,3524.7843193403255
2023-04-30,3523.0521240223184,3517.078190516876,3528.1945989933647
2023-05-01,3526.8335709504504,3521.7108161812657,3532.275532823875
2023-05-02,3530.5633241899945,3524.767597751592,3535.892994085968
2023-05-03,3534.2161534976635,3528.798017311527,3539.7766395760623
2023-05-04,3537.8899267209954,3532.3413867836334,3542.9272498277405
2023-05-05,3541.4901463597403,3536.099573989876,3546.755749616519
2023-05-06,3544.2613054506915,3538.8858899238076,3549.395585404222
2023-05-07,3548.359449184418,3542.696933764886,3553.894359974616
2023-05-08,3552.0971189443326,3546.7421625422667,3557.625902327738
2023-05-09,3555.783095015661,3550.290077123499,3561.4775242026676
2023-05-10,3559.3921471551107,3554.092496038901,3564.605917903498
2023-05-11,3563.0221432102267,3557.350654453016,3568.1548927819567
2023-05-12,3566.5785856807543,3560.982256830533,3571.6807825118003
2023-05-13,3569.3059676034895,3563.6471237057754,3574.073888962785
2023-05-14,3573.404111337216,3568.2386611578836,3578.7788500966403
2023-05-15,3577.1417810971307,3571.5557283923936,3582.5749106182193
2023-05-16,3580.8277571684584,3575.33289938408,3586.5075349107715
2023-05-17,3584.436809307911,3579.0963856201483,3589.9204160471363
2023-05-18,3588.0668053630257,3582.4597931422227,3594.1406612744004
2023-05-19,3591.6232478335523,3586.064040186564,3596.8435057788056
2023-05-20,3594.3506297562885,3588.7832516151616,3600.1320342051113
